"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"	"p.adj"
"GO:0008152"	1.1888795032479e-59	2.34480920100541	607.684908651039	917	9209	"metabolic process"	1.78240329234254e-56
"GO:0044237"	1.76039831342473e-59	2.35685937970604	511.210227746726	813	7747	"cellular metabolic process"	1.78240329234254e-56
"GO:0044238"	6.22123978816165e-59	2.34340676291584	523.484024359723	825	7933	"primary metabolic process"	4.19933685700911e-56
"GO:0071704"	1.76944523228772e-57	2.31202032585795	548.295570201051	848	8309	"organic substance metabolic process"	8.95781648845658e-55
"GO:0009987"	2.40317394899068e-54	2.39612791127077	897.834821056144	1185	13606	"cellular process"	9.73285449341226e-52
"GO:0043170"	5.03903491308591e-50	2.22760242886453	439.151163760741	706	6655	"macromolecule metabolic process"	1.70067428316649e-47
"GO:0044260"	1.31611232888849e-49	2.26490421616522	383.193209310086	640	5807	"cellular macromolecule metabolic process"	3.80732495142741e-47
"GO:1901576"	1.40262508199977e-40	2.21441611054144	286.05864686744	497	4335	"organic substance biosynthetic process"	3.55039473881192e-38
"GO:0034645"	4.44624855562701e-40	2.31714775089082	230.232668724451	425	3489	"cellular macromolecule biosynthetic process"	1.00040592501608e-37
"GO:0071840"	5.08709238256348e-40	2.24475632955316	262.500875948945	466	3978	"cellular component organization or biogenesis"	1.0301362074691e-37
"GO:0009059"	8.30667417340413e-40	2.29639467432739	236.237590723284	432	3580	"macromolecule biosynthetic process"	1.52918320010394e-37
"GO:0019222"	1.3523385730525e-39	2.15642535766645	311.266121631768	525	4717	"regulation of metabolic process"	2.2820713420261e-37
"GO:0009058"	1.53827665004285e-39	2.18499041739311	290.941770251105	500	4409	"biosynthetic process"	2.39616170487444e-37
"GO:0044249"	1.92868479280279e-39	2.1996527449397	280.647618253108	487	4253	"cellular biosynthetic process"	2.78970478958976e-37
"GO:0010467"	2.97806300068129e-39	2.23720563205941	257.881705180612	458	3908	"gene expression"	4.02038505091975e-37
"GO:0031323"	6.33569732247029e-39	2.21344548965523	266.592141486611	468	4040	"regulation of cellular metabolic process"	8.01861692375146e-37
"GO:0016043"	1.76756737802852e-37	2.20600331783317	253.988404104446	448	3849	"cellular component organization"	2.10548467088691e-35
"GO:1901360"	4.19747922752902e-37	2.09763229971406	317.534996245933	525	4812	"organic cyclic compound metabolic process"	4.72216413097015e-35
"GO:0080090"	2.53564903049067e-36	2.16185457055022	263.886627179444	457	3999	"regulation of primary metabolic process"	2.70246804565453e-34
