"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"	"p.adj"
"GO:0044699"	7.56645755429228e-202	5.71899482086079	803.525986485359	1380	11549	"single-organism process"	3.1453764053193e-198
"GO:0032502"	1.67127879200919e-174	4.64795369987598	302.652873946776	783	4350	"developmental process"	3.4737529691911e-171
"GO:0009987"	1.9895355323333e-173	5.80552707088762	946.642529406857	1458	13606	"cellular process"	2.75683306930317e-170
"GO:0048856"	2.17193231517294e-172	4.76041492171896	270.439476099107	733	3887	"anatomical structure development"	2.11676963424557e-169
"GO:0007275"	2.54603035151018e-172	4.76974462027624	268.491365646117	730	3859	"multicellular organismal development"	2.11676963424557e-169
"GO:0044767"	2.11162434716765e-168	4.81183913485057	248.45365812964	694	3571	"single-organism developmental process"	1.46300373519599e-165
"GO:0048731"	1.88955824431531e-166	4.89502029546597	230.920664052724	664	3319	"system development"	1.12212766023125e-163
"GO:0044707"	1.12735561018112e-165	4.18072488463461	427.12321681822	934	6139	"single-multicellular organism process"	5.85802158940363e-163
"GO:0032501"	1.13611324968801e-163	4.13350840593938	437.072495203137	943	6282	"multicellular organismal process"	5.2475808655034e-161
"GO:0044763"	5.73613693028089e-157	4.20555615376333	733.185284057729	1251	10538	"single-organism cellular process"	2.38451212191776e-154
"GO:0048518"	7.10470337701299e-145	4.36683325710948	244.209560357053	652	3510	"positive regulation of biological process"	2.68493199438573e-142
"GO:0065007"	3.23132564951448e-140	3.74622299842707	672.863435388337	1164	9671	"biological regulation"	1.11938506041931e-137
"GO:0048513"	2.22757407212626e-137	4.82756793129271	170.946692249937	524	2457	"organ development"	7.12309647525297e-135
"GO:0065008"	1.75155012111239e-124	4.59026171935645	165.102360890965	495	2373	"regulation of biological quality"	5.20085275247443e-122
"GO:0008152"	4.49696773192194e-124	3.41006572429445	640.71961291399	1102	9209	"metabolic process"	1.24625965743997e-121
"GO:0042221"	7.21145826777373e-123	4.534833921205	166.563443730708	495	2394	"response to chemical stimulus"	1.87362700119596e-120
"GO:0048522"	2.34242762914044e-122	4.09033082462505	215.892383415367	573	3103	"positive regulation of cellular process"	5.72792450255106e-120
"GO:0050789"	4.71162546563611e-120	3.33929218753964	645.17243680654	1099	9273	"regulation of biological process"	1.08812372559163e-117
"GO:0050896"	9.88217421626506e-117	3.26766140811899	508.317677483941	944	7306	"response to stimulus"	2.16211569563231e-114
"GO:0030154"	5.05714109826883e-112	4.03492495883194	193.28038708601	521	2778	"cell differentiation"	1.05112677727518e-109
"GO:0051179"	1.64979186194256e-110	3.49653022633255	293.051472428464	664	4212	"localization"	3.26580227147392e-108
"GO:0071704"	7.23403870266937e-110	3.13884772945176	578.101776925002	1008	8309	"organic substance metabolic process"	1.36690449486348e-107
"GO:0048519"	1.20793402410096e-108	3.7480182513557	225.911237173605	565	3247	"negative regulation of biological process"	2.18320945138595e-106
"GO:0048869"	5.68147755830409e-108	3.85524698621898	206.082255777092	534	2962	"cellular developmental process"	9.84079258744587e-106
"GO:0044238"	9.64004142043245e-106	3.07037218233683	551.941436556269	971	7933	"primary metabolic process"	1.60294608738951e-103
"GO:0051239"	3.32392985662594e-104	4.36522036417689	142.699090681572	426	2051	"regulation of multicellular organismal process"	5.31445246692078e-102
"GO:0050794"	8.47032064782554e-100	2.96921850748773	605.792775506799	1017	8707	"regulation of cellular process"	1.30411566418558e-97
"GO:0048523"	1.10422702723604e-99	3.69949712324757	203.020939350964	515	2918	"negative regulation of cellular process"	1.63938276865008e-97
"GO:0009653"	1.13269147349908e-94	4.1761605828102	138.037540669058	403	1984	"anatomical structure morphogenesis"	1.62365463977093e-92
"GO:0044237"	4.61966037486475e-94	2.87840361734027	539.000417118545	932	7747	"cellular metabolic process"	6.40130939277093e-92
"GO:0048583"	2.36949848303089e-92	3.85552078214313	161.693167598231	438	2324	"regulation of response to stimulus"	3.17742103030948e-90
"GO:0008283"	3.29316991918292e-86	4.63404798681907	97.1967965295737	318	1397	"cell proliferation"	4.27803354813856e-84
"GO:0019222"	8.04902985226309e-85	2.94521814148385	328.187035955619	660	4717	"regulation of metabolic process"	1.01393385138963e-82
"GO:0006950"	7.1782955775811e-83	3.66223334268027	157.588220572287	415	2265	"response to stress"	8.77652197529548e-81
"GO:0051234"	7.39961145981419e-78	3.07240873587803	238.365228998081	525	3426	"establishment of localization"	8.78862423955645e-76
"GO:0006810"	2.43885752499838e-77	3.07868297674134	234.121131225494	518	3365	"transport"	2.81620298094952e-75
"GO:0048468"	3.12364355898854e-77	4.14757032496123	106.659047301243	321	1533	"cell development"	3.50945574992307e-75
"GO:0050793"	1.79954510058474e-76	4.02469849316213	112.572954033536	330	1618	"regulation of developmental process"	1.96860762713967e-74
"GO:0042127"	3.12899964652413e-76	4.76037816520213	78.9680487194461	269	1135	"regulation of cell proliferation"	3.33519270015405e-74
"GO:0009888"	1.54575007542815e-75	4.20092024539877	100.814715942271	308	1449	"tissue development"	1.6064207658887e-73
"GO:0002376"	2.20098357858116e-75	4.19317327981061	100.953866688913	308	1451	"immune system process"	2.23158261857607e-73
"GO:0016043"	2.71031294846547e-75	2.92231077665075	267.795611912906	560	3849	"cellular component organization"	2.68256450637404e-73
"GO:0010033"	3.31582322199001e-75	3.88897949654659	119.11303912572	339	1712	"response to organic substance"	3.20555282181685e-73
"GO:0080090"	2.25608235427327e-74	2.87508280102833	278.23191791107	572	3999	"regulation of primary metabolic process"	2.13148507879864e-72
"GO:0016265"	5.12251950980883e-74	4.04316517079185	106.798198047885	316	1535	"death"	4.73206968939451e-72
"GO:0040011"	8.7669492950954e-74	4.80291748009722	74.5848002002169	257	1072	"locomotion"	7.92265396080686e-72
"GO:0044765"	9.57861754404344e-74	3.25582914101919	182.983231834487	437	2630	"single-organism transport"	8.4719815171465e-72
"GO:0008219"	2.58155096165302e-73	4.02911867698126	106.311170434638	314	1528	"cell death"	2.23573069741492e-71
"GO:0012501"	1.18427062771564e-72	4.1200147443961	100.049386835739	302	1438	"programmed cell death"	1.00469653049264e-70
"GO:0071840"	4.57958035319735e-72	2.83555171031566	276.770835071327	565	3978	"cellular component organization or biogenesis"	3.80746310564827e-70
"GO:0032879"	4.70688225369432e-72	3.93121860956912	109.859514474014	318	1579	"regulation of localization"	3.83657049580535e-70
"GO:0006915"	9.00176582305849e-72	4.11846213055191	98.5883039959957	298	1417	"apoptotic process"	7.19621933201041e-70
"GO:0043170"	1.19571067663757e-71	2.54900816278882	463.024109451906	794	6655	"macromolecule metabolic process"	9.37843260902335e-70
"GO:0048584"	1.71157954206547e-71	4.49634180027339	81.6814882789689	267	1174	"positive regulation of response to stimulus"	1.31759928821596e-69
"GO:0006928"	1.75235955899902e-71	4.54059106370268	80.0812546925836	264	1151	"cellular component movement"	1.32446521577435e-69
"GO:0031323"	7.70734634457315e-71	2.80103477167993	281.084508217235	568	4040	"regulation of cellular metabolic process"	5.72132834899831e-69
"GO:0009605"	6.60915178804066e-70	4.96342742648359	65.6791524151164	234	944	"response to external stimulus"	4.82004280401491e-68
"GO:0009893"	1.28531725830358e-69	3.53289655225276	135.463251856178	356	1947	"positive regulation of metabolic process"	9.21217903925517e-68
"GO:0010941"	1.32756358601137e-69	4.46892725829314	80.0116793192625	261	1150	"regulation of cell death"	9.35369801194788e-68
"GO:2000026"	6.00041025359903e-69	4.19960552268245	89.8913823308584	278	1292	"regulation of multicellular organismal development"	4.15728423736852e-67
"GO:0009058"	7.40717980133354e-69	2.70434952574944	306.75782097272	597	4409	"biosynthetic process"	5.0478108908432e-67
"GO:0070887"	1.12318908914138e-68	3.96160495922845	101.510469675482	298	1459	"cellular response to chemical stimulus"	7.53080168316246e-67
"GO:0010646"	9.74205206455711e-68	3.38280247626379	145.899557854342	369	2097	"regulation of cell communication"	6.42820800513713e-66
"GO:0007154"	2.06824945719937e-67	2.55452336340019	383.151580879286	689	5507	"cell communication"	1.34339265524653e-65
"GO:0060255"	2.77977935284869e-67	2.74735917691773	275.796779844832	553	3964	"regulation of macromolecule metabolic process"	1.77777581073723e-65
"GO:0019538"	3.11102952320999e-67	2.79393769614366	258.611662634521	530	3717	"protein metabolic process"	1.95947723151271e-65
"GO:0051716"	3.81558791248639e-67	2.51355724918806	416.199883206807	728	5982	"cellular response to stimulus"	2.36737297794118e-65
"GO:0023051"	6.56603419715425e-67	3.36351482904228	145.621256361058	367	2093	"regulation of signaling"	4.01397119964268e-65
"GO:1901576"	1.50511032751713e-66	2.6728864265928	301.609243346959	585	4335	"organic substance biosynthetic process"	9.06774439346193e-65
"GO:0043067"	1.96414647485901e-66	4.4511917792472	76.1850337866021	249	1095	"regulation of programmed cell death"	1.1664224137127e-64
"GO:0042592"	2.49697651315681e-65	4.42634138491171	75.4892800533912	246	1085	"homeostatic process"	1.46196216411167e-63
"GO:0042981"	5.11625959226405e-65	4.4216763559701	75.2109785601068	245	1081	"regulation of apoptotic process"	2.95392932292245e-63
"GO:0023052"	5.36044273069531e-65	2.5223111840744	375.707015933928	674	5400	"signaling"	3.01126492317573e-63
"GO:0044700"	5.36044273069531e-65	2.5223111840744	375.707015933928	674	5400	"single organism signaling"	3.01126492317573e-63
"GO:0031325"	1.30626119356534e-64	3.49178565945033	126.209727204472	332	1814	"positive regulation of cellular metabolic process"	7.2401703755348e-63
"GO:0044249"	3.75371139732312e-64	2.64068098759263	295.904062734629	572	4253	"cellular biosynthetic process"	2.05318135245687e-62
"GO:0007399"	9.29673779810145e-64	3.70344968274737	107.633102527738	300	1547	"nervous system development"	5.01903104242958e-62
"GO:0044710"	3.11633684340246e-63	2.94540537564014	196.272128138817	435	2821	"single-organism metabolic process"	1.6608477253877e-61
"GO:0006793"	2.26238151179534e-62	3.00887530811978	180.200216901643	410	2590	"phosphorus metabolic process"	1.19047087905484e-60
"GO:0006796"	2.9022955326603e-62	3.02487062519859	176.930174355552	405	2543	"phosphate-containing compound metabolic process"	1.50810531615861e-60
"GO:0008284"	1.40495492073714e-61	5.61849346912139	45.502294151998	181	654	"positive regulation of cell proliferation"	7.21036741420283e-60
"GO:0048870"	8.62246725960237e-61	4.6736735159679	62.2699591223826	214	895	"cell motility"	4.31850559014061e-59
"GO:0051674"	8.62246725960237e-61	4.6736735159679	62.2699591223826	214	895	"localization of cell"	4.31850559014061e-59
"GO:0016477"	1.73658472334549e-60	4.8658298355376	57.3996829899057	204	825	"cell migration"	8.59402701779429e-59
"GO:0009966"	5.58379501968765e-60	3.34080658260986	127.879536164178	326	1838	"regulation of signal transduction"	2.73080422315783e-58
"GO:0010604"	1.00459566774329e-59	3.36969089336104	124.400767498123	320	1788	"positive regulation of macromolecule metabolic process"	4.8559351055917e-58
"GO:0072358"	5.40591368854613e-57	4.75186820652174	55.9386001501627	196	804	"cardiovascular system development"	2.55367990946435e-55
"GO:0072359"	5.40591368854613e-57	4.75186820652174	55.9386001501627	196	804	"circulatory system development"	2.55367990946435e-55
"GO:0065009"	6.19002960946145e-57	3.28560741261515	124.609493618086	315	1791	"regulation of molecular function"	2.89123068387992e-55
"GO:0007167"	7.57443126131878e-57	5.51325193678709	42.8584299657963	169	616	"enzyme linked receptor protein signaling pathway"	3.4985456392558e-55
"GO:0051246"	1.71273066295403e-56	3.63817296604741	96.2227413030783	268	1383	"regulation of protein metabolic process"	7.82397952296691e-55
"GO:0006468"	2.2392242871614e-56	3.89471073392302	82.3772420121799	244	1184	"protein phosphorylation"	1.011788626275e-54
"GO:0051094"	2.63548230082628e-56	4.8099419408093	53.9209143238508	191	775	"positive regulation of developmental process"	1.17803224994998e-54
"GO:0022610"	4.4808689004809e-56	4.56489539090766	59.2086426962543	201	851	"biological adhesion"	1.98159276801054e-54
"GO:0051128"	2.11299077206948e-55	3.61019829336466	95.5965629431885	265	1374	"regulation of cellular component organization"	9.2460027784135e-54
"GO:0007155"	2.24902551477765e-55	4.5493575231793	58.7216150830066	199	844	"cell adhesion"	9.73874902596948e-54
"GO:0016310"	2.72764592123e-55	3.51240194231478	101.719195795445	275	1462	"phosphorylation"	1.1689509375828e-53
"GO:0022008"	3.53744424877886e-55	3.94969151124034	77.8548427463085	234	1119	"neurogenesis"	1.50052609614018e-53
"GO:0006807"	3.93555544344915e-54	2.3640695546104	350.242429298407	615	5034	"nitrogen compound metabolic process"	1.65253575539577e-52
