"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"	"p.adj"
"GO:0044699"	2.60447089069738e-159	5.64818713153295	635.883874197047	1094	11549	"single-organism process"	9.43339356610592e-156
"GO:0009987"	2.99593764102393e-132	5.5002556161617	749.141570034204	1149	13606	"cellular process"	5.42564306789433e-129
"GO:0032502"	8.7420612173029e-131	4.37429605245259	239.509468590974	612	4350	"developmental process"	1.05545819096904e-127
"GO:0048856"	1.05888328534641e-128	4.46113033448674	214.016851589222	572	3887	"anatomical structure development"	9.58818814881172e-126
"GO:0044767"	2.14807422773767e-127	4.54546878778281	196.618002836406	544	3571	"single-organism developmental process"	1.55606497057317e-124
"GO:0007275"	6.22555385156821e-127	4.42872253392263	212.475181446567	567	3859	"multicellular organismal development"	3.75815934173001e-124
"GO:0044763"	1.26764657636709e-124	4.17056723103022	580.218570117627	993	10538	"single-organism cellular process"	6.5591655708594e-122
"GO:0048731"	1.1661341702456e-121	4.51267277946595	182.742971552515	514	3319	"system development"	5.27967245578695e-119
"GO:0044707"	6.34135336275375e-119	3.84183633464079	338.011178777008	722	6139	"single-multicellular organism process"	2.55204243109934e-116
"GO:0032501"	2.1405675854769e-117	3.79869024015006	345.884708434137	729	6282	"multicellular organismal process"	7.75313579459733e-115
"GO:0048518"	3.41464628972004e-115	4.27478260869565	193.259364311337	520	3510	"positive regulation of biological process"	1.12434989648782e-112
"GO:0065007"	2.51243381245213e-107	3.61303815171909	532.481855343289	917	9671	"biological regulation"	7.58336272391801e-105
"GO:0065008"	2.15413392194072e-103	4.59526201821842	130.656544589972	402	2373	"regulation of biological quality"	6.0017485117456e-101
"GO:0048513"	2.85470857653595e-100	4.44391716997412	135.281555017936	405	2457	"organ development"	7.38553890300943e-98
"GO:0008152"	5.19838935691111e-97	3.34257141143611	507.044297989489	872	9209	"metabolic process"	1.2552377500488e-94
"GO:0048522"	9.80017132533547e-94	3.91432308074155	170.850087594894	451	3103	"positive regulation of cellular process"	2.21851378377282e-91
"GO:0050789"	5.23821592889123e-91	3.20971891019021	510.568115458413	864	9273	"regulation of biological process"	1.11604812320259e-88
"GO:0051179"	4.51377778428369e-88	3.44482919952369	231.911237173605	529	4212	"localization"	9.08272396370862e-86
"GO:0042221"	1.90098099392667e-87	4.12537266990662	131.812797196963	379	2394	"response to chemical stimulus"	3.62387008421178e-85
"GO:0050896"	8.62620171201262e-84	3.04501965069569	402.265787936932	732	7306	"response to stimulus"	1.56220513004549e-81
"GO:0030154"	9.80699844133987e-82	3.75248212133387	152.955702010511	403	2778	"cell differentiation"	1.69147373116824e-79
"GO:0071704"	2.80788242614464e-81	2.98032776396516	457.490614832735	788	8309	"organic substance metabolic process"	4.62279552158904e-79
"GO:0048519"	1.13343121218729e-80	3.53526897043107	178.778676899975	440	3247	"negative regulation of biological process"	1.78490776110537e-78
"GO:0051239"	1.15639590809965e-79	4.14979352288997	112.927337949445	335	2051	"regulation of multicellular organismal process"	1.74519415797373e-77
"GO:0048869"	1.18568425612145e-78	3.59150939274887	163.08667723367	413	2962	"cellular developmental process"	1.71781935026875e-76
"GO:0044238"	2.02022244197448e-76	2.88106973865573	436.788187202803	755	7933	"primary metabolic process"	2.81432526339675e-74
"GO:0050794"	4.40396752620999e-74	2.83097648360916	479.404354717611	796	8707	"regulation of cellular process"	5.90784088145651e-72
"GO:0048523"	5.70685747050913e-73	3.46287433744584	160.664052723784	399	2918	"negative regulation of cellular process"	7.38222777078003e-71
"GO:0044237"	2.23813919914981e-69	2.73925407099648	426.547092683741	728	7747	"cellular metabolic process"	2.79535868252435e-67
"GO:0048583"	1.32660501904592e-67	3.59823600551537	127.958621840327	339	2324	"regulation of response to stimulus"	1.60165445966145e-65
"GO:0009653"	3.8067935008854e-67	3.80943239597385	109.238341536665	308	1984	"anatomical structure morphogenesis"	4.44780840651837e-65
"GO:0006950"	5.21006905648207e-66	3.58562596001727	124.710102611162	331	2265	"response to stress"	5.89714691330564e-64
"GO:0051234"	5.75244315577353e-65	3.09780384505568	188.634353883374	424	3426	"establishment of localization"	6.31374215460961e-63
"GO:0006810"	2.42548900528533e-64	3.09891828813096	185.275715358305	418	3365	"transport"	2.58385916974808e-62
"GO:0016265"	2.17550688391776e-62	4.06678346583845	84.5165596062401	258	1535	"death"	2.25133883815718e-60
"GO:0032879"	1.2036772815206e-61	3.98971744466463	86.9391841161258	261	1579	"regulation of localization"	1.21103308712989e-59
"GO:0008219"	1.39532791641567e-61	4.0444507495153	84.1311420705765	256	1528	"cell death"	1.36591289547502e-59
"GO:0012501"	1.97848570869602e-61	4.14835481707713	79.1757737549011	247	1438	"programmed cell death"	1.88580927286763e-59
"GO:0006915"	7.5312120582034e-61	4.15273327692157	78.0195211479102	244	1417	"apoptotic process"	6.99437181405454e-59
"GO:0019222"	9.27932513836711e-61	2.76082191057233	259.716359389338	510	4717	"regulation of metabolic process"	8.40242891279142e-59
"GO:0016043"	3.57059851495877e-60	2.88678720014848	211.924584967048	446	3849	"cellular component organization"	3.15431898077577e-58
"GO:0044765"	1.13136399567091e-58	3.19617835773255	144.806874113623	348	2630	"single-organism transport"	9.75666760076201e-57
"GO:0019538"	8.47517733340292e-58	2.85754268543578	204.65671143739	431	3717	"protein metabolic process"	7.1388586747873e-56
"GO:0008283"	3.82271874104781e-57	4.0303943349511	76.9183281888713	236	1397	"cell proliferation"	3.14679256365345e-55
"GO:0002376"	5.25096532324554e-57	3.95836671543134	79.8915491782765	241	1451	"immune system process"	4.22644364462119e-55
"GO:0010941"	5.64821875253123e-57	4.39992375289408	63.3185951447401	211	1150	"regulation of cell death"	4.44735833079742e-55
"GO:0071840"	9.07874084560809e-57	2.78333549912935	219.027279552849	448	3978	"cellular component organization or biogenesis"	6.99642539208351e-55
