"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"	"p.adj"
"GO:0019264"	0.0025845168247749	798.066666666667	0.00258613497956119	1	2	"glycine biosynthetic process from serine"	0.0337332761783304
"GO:0046655"	0.0025845168247749	798.066666666667	0.00258613497956119	1	2	"folic acid metabolic process"	0.0337332761783304
"GO:0006565"	0.00387434996253677	399.016666666667	0.00387920246934179	1	3	"L-serine catabolic process"	0.0337332761783304
"GO:0006545"	0.00644917546515067	199.491666666667	0.00646533744890298	1	5	"glycine biosynthetic process"	0.0337332761783304
"GO:0008215"	0.00773417173368895	159.586666666667	0.00775840493868357	1	6	"spermine metabolic process"	0.0337332761783304
"GO:0009113"	0.00773417173368895	159.586666666667	0.00775840493868357	1	6	"purine nucleobase biosynthetic process"	0.0337332761783304
"GO:0006120"	0.0090175596123705	132.983333333333	0.00905147242846417	1	7	"mitochondrial electron transport, NADH to ubiquinone"	0.0337332761783304
"GO:0006563"	0.0102993410473448	113.980952380952	0.0103445399182448	1	8	"L-serine metabolic process"	0.0337332761783304
"GO:0008216"	0.0102993410473448	113.980952380952	0.0103445399182448	1	8	"spermidine metabolic process"	0.0337332761783304
"GO:0046112"	0.0115795179824828	99.7291666666667	0.0116376074080254	1	9	"nucleobase biosynthetic process"	0.0337332761783304
"GO:0009070"	0.0154104411935692	72.5212121212121	0.0155168098773671	1	12	"serine family amino acid biosynthetic process"	0.0337332761783304
"GO:0043968"	0.0154104411935692	72.5212121212121	0.0155168098773671	1	12	"histone H2A acetylation"	0.0337332761783304
"GO:0006144"	0.0166842195227153	66.475	0.0168098773671477	1	13	"purine nucleobase metabolic process"	0.0337332761783304
"GO:0043129"	0.0166842195227153	66.475	0.0168098773671477	1	13	"surfactant homeostasis"	0.0337332761783304
"GO:0015980"	0.017919962889693	10.4484954974742	0.205597730875115	2	159	"energy derivation by oxidation of organic compounds"	0.0337332761783304
"GO:0048875"	0.0192269936678372	56.9738095238095	0.0193960123467089	1	15	"chemical homeostasis within a tissue"	0.0337332761783304
"GO:0009071"	0.020495993342126	53.1733333333333	0.0206890798364895	1	16	"serine family amino acid catabolic process"	0.0337332761783304
"GO:0042775"	0.020495993342126	53.1733333333333	0.0206890798364895	1	16	"mitochondrial ATP synthesis coupled electron transport"	0.0337332761783304
"GO:0006544"	0.0217634039860196	49.8479166666667	0.0219821473262701	1	17	"glycine metabolic process"	0.0337332761783304
"GO:0006595"	0.0217634039860196	49.8479166666667	0.0219821473262701	1	17	"polyamine metabolic process"	0.0337332761783304
"GO:0042773"	0.0230292275230416	46.9137254901961	0.0232752148160507	1	18	"ATP synthesis coupled electron transport"	0.0339955263435376
"GO:0006767"	0.0255561209593312	41.9719298245614	0.0258613497956119	1	20	"water-soluble vitamin metabolic process"	0.0360108977154213
"GO:0006760"	0.0268171946944178	39.8716666666667	0.0271544172853925	1	21	"folic acid-containing compound metabolic process"	0.0361449145881283
"GO:0009112"	0.033098910054066	31.8906666666667	0.0336197547342955	1	26	"nucleobase metabolic process"	0.0408747555993629
"GO:0006396"	0.0332423997424537	4.59986893840105	0.708600984399766	3	548	"RNA processing"	0.0408747555993629
"GO:0006119"	0.0356005935865419	29.5259259259259	0.0362058897138567	1	28	"oxidative phosphorylation"	0.0408747555993629
"GO:0042558"	0.0356005935865419	29.5259259259259	0.0362058897138567	1	28	"pteridine-containing compound metabolic process"	0.0408747555993629
"GO:0006730"	0.0380960127330903	27.4873563218391	0.0387920246934179	1	30	"one-carbon metabolic process"	0.0419380220804958
"GO:0009069"	0.0405851826585443	25.7118279569892	0.0413781596729791	1	32	"serine family amino acid metabolic process"	0.0419380220804958
"GO:0022904"	0.0405851826585443	25.7118279569892	0.0413781596729791	1	32	"respiratory electron transport chain"	0.0419380220804958
"GO:0046148"	0.0480153482254297	21.5369369369369	0.0491365646116626	1	38	"pigment biosynthetic process"	0.0480153482254297
