"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"	"p.adj"
"GO:0033539"	1.37698982332156e-11	2280.66666666667	0.00625677817635772	4	6	"fatty acid beta-oxidation using acyl-CoA dehydrogenase"	6.62332105017669e-09
"GO:0065008"	1.29536913198066e-08	11.6482330725654	2.47455576874948	14	2373	"regulation of biological quality"	3.1153627624135e-06
"GO:0006869"	4.1746588028746e-08	39.6992481203008	0.203345290731626	6	195	"lipid transport"	5.26211186289888e-06
"GO:1901615"	5.62355578147605e-08	26.3740421455939	0.370192708767832	7	355	"organic hydroxy compound metabolic process"	5.26211186289888e-06
"GO:0008203"	6.27012997727391e-08	61.4742268041237	0.106365228998081	5	102	"cholesterol metabolic process"	5.26211186289888e-06
"GO:0032366"	8.37909325319109e-08	544.159090909091	0.00938516726453658	3	9	"intracellular sterol transport"	5.26211186289888e-06
"GO:0032367"	8.37909325319109e-08	544.159090909091	0.00938516726453658	3	9	"intracellular cholesterol transport"	5.26211186289888e-06
"GO:0016125"	8.75195320232662e-08	57.3197115384615	0.113664803537165	5	109	"sterol metabolic process"	5.26211186289888e-06
"GO:0010876"	1.0012346488428e-07	34.0607655502392	0.235671977976141	6	226	"lipid localization"	5.3510429565932e-06
"GO:0006635"	1.59097512077425e-07	105.895902547065	0.0490114290481355	4	47	"fatty acid beta-oxidation"	7.18713891224856e-06
"GO:0032365"	1.64362844147056e-07	408.085227272727	0.0114707599899892	3	11	"intracellular lipid transport"	7.18713891224856e-06
"GO:0006066"	2.39349061399337e-07	29.2265625	0.273212647034287	6	262	"alcohol metabolic process"	9.5939082110901e-06
"GO:0030258"	2.94973813173811e-07	44.4309701492537	0.144948694418954	5	139	"lipid modification"	1.0914031087431e-05
"GO:0009062"	4.92378034461627e-07	78.4597701149425	0.0646533744890298	4	62	"fatty acid catabolic process"	1.69167024697173e-05
"GO:0019395"	7.15792828205988e-07	71.0863095238095	0.0709101526653875	4	68	"fatty acid oxidation"	2.2953090024472e-05
"GO:0034440"	8.52210600551432e-07	67.8948116560057	0.0740385417535664	4	71	"lipid oxidation"	2.45815919257515e-05
"GO:0072329"	9.53312045587195e-07	65.9213250517598	0.0761241344790189	4	73	"monocarboxylic acid catabolic process"	2.45815919257515e-05
"GO:0090181"	9.59956370534261e-07	203.974431818182	0.0198131308917994	3	19	"regulation of cholesterol metabolic process"	2.45815919257515e-05
"GO:0044281"	9.70998433657544e-07	9.37469145325517	1.94272962375907	11	1863	"small molecule metabolic process"	2.45815919257515e-05
"GO:0044248"	1.11696767280796e-06	10.1577401129944	1.54855259864854	10	1485	"cellular catabolic process"	2.68630725310314e-05
"GO:0051262"	2.86300881981058e-06	49.3933747412008	0.100108450821724	4	96	"protein tetramerization"	6.55765353489948e-05
"GO:0019254"	3.12990920847769e-06	2082.4347826087	0.00312838908817886	2	3	"carnitine metabolic process, CoA-linked"	6.84311967853531e-05
"GO:0032371"	3.59506396816738e-06	125.47027972028	0.0302410945190623	3	29	"regulation of sterol transport"	7.20510736953546e-05
"GO:0032374"	3.59506396816738e-06	125.47027972028	0.0302410945190623	3	29	"regulation of cholesterol transport"	7.20510736953546e-05
"GO:0009056"	4.76843352652341e-06	8.54625889594153	1.81759406023192	10	1743	"catabolic process"	8.89915359812348e-05
"GO:0008202"	4.81035329628296e-06	24.696875	0.25548510886794	5	245	"steroid metabolic process"	8.89915359812348e-05
"GO:0015914"	6.99107196555894e-06	98.8264462809917	0.0375406690581463	3	36	"phospholipid transport"	0.000124544652423476
"GO:0006810"	7.93724746361623e-06	6.65674721559268	3.50900976057396	13	3365	"transport"	0.000136350572499979
"GO:0042592"	9.31333498019415e-06	9.99377355398984	1.13143405355802	8	1085	"homeostatic process"	0.000145963457922383
"GO:0065007"	9.454976887708e-06	7.77924870466321	10.0848836239259	21	9671	"biological regulation"	0.000145963457922383
"GO:0044242"	9.55884110827637e-06	36.0136054421769	0.135563527154417	4	130	"cellular lipid catabolic process"	0.000145963457922383
"GO:0051234"	9.71066663932691e-06	6.51841000097666	3.57262033870026	13	3426	"establishment of localization"	0.000145963457922383
"GO:0044707"	1.03089064682116e-05	6.18790836327997	6.40172687077667	17	6139	"single-multicellular organism process"	0.000150260121551811
"GO:0032501"	1.43807420185761e-05	5.99816440542698	6.55084675064653	17	6282	"multicellular organismal process"	0.000203445203262797
"GO:0046322"	1.56195381719426e-05	520.54347826087	0.00625677817635772	2	6	"negative regulation of fatty acid oxidation"	0.000214657081734411
"GO:1901575"	1.85494666091766e-05	7.9690468651045	1.65596062400934	9	1588	"organic substance catabolic process"	0.000247841484417053
"GO:0016054"	2.11397779702434e-05	29.2399385560676	0.16580462167348	4	159	"organic acid catabolic process"	0.000267585084307555
"GO:0046395"	2.11397779702434e-05	29.2399385560676	0.16580462167348	4	159	"carboxylic acid catabolic process"	0.000267585084307555
"GO:0015748"	2.26705816346318e-05	65.1790909090909	0.0552682072244932	3	53	"organophosphate ester transport"	0.000279603840160459
"GO:0015918"	2.39876330672201e-05	63.8983957219251	0.0563110035872195	3	54	"sterol transport"	0.000281415890373973
"GO:0030301"	2.39876330672201e-05	63.8983957219251	0.0563110035872195	3	54	"cholesterol transport"	0.000281415890373973
"GO:0044765"	2.78584879824378e-05	6.39911634756996	2.74255443397013	11	2630	"single-organism transport"	0.000319046017132204
"GO:0055091"	2.91191923561369e-05	347	0.00834237090181029	2	8	"phospholipid homeostasis"	0.000325728640076787
"GO:0016043"	3.52678269432664e-05	5.68015728189086	4.01372320013348	13	3849	"cellular component organization"	0.000385541471811617
"GO:0051289"	3.63744593221154e-05	55.2157164869029	0.0646533744890298	3	62	"protein homotetramerization"	0.0003888025540875
"GO:0044699"	3.77641510580301e-05	7.90272114745091	12.0432551931259	22	11549	"single-organism process"	0.000394881666498097
"GO:0009437"	4.67388719318414e-05	260.228260869565	0.0104279636272629	2	10	"carnitine metabolic process"	0.000461234660174069
"GO:0045717"	4.67388719318414e-05	260.228260869565	0.0104279636272629	2	10	"negative regulation of fatty acid biosynthetic process"	0.000461234660174069
"GO:0006629"	4.69864830530757e-05	9.18305355715428	1.02194043547176	7	980	"lipid metabolic process"	0.000461234660174069
"GO:0032368"	4.80019190507413e-05	50.1062937062937	0.0709101526653875	3	68	"regulation of lipid transport"	0.000461778461268131
"GO:0071840"	5.05226227237054e-05	5.46010928961749	4.14824393092517	13	3978	"cellular component organization or biogenesis"	0.000476497677060829
"GO:0044710"	5.38949187729292e-05	5.91075241484494	2.94172853925085	11	2821	"single-organism metabolic process"	0.000481749033792013
"GO:0044282"	5.70472266625359e-05	22.5046197583511	0.213773254358889	4	205	"small molecule catabolic process"	0.000481749033792013
"GO:0044712"	5.70472266625359e-05	22.5046197583511	0.213773254358889	4	205	"single-organism catabolic process"	0.000481749033792013
"GO:0006577"	5.70887628402178e-05	231.304347826087	0.0114707599899892	2	11	"amino-acid betaine metabolic process"	0.000481749033792013
"GO:0010875"	5.70887628402178e-05	231.304347826087	0.0114707599899892	2	11	"positive regulation of cholesterol efflux"	0.000481749033792013
"GO:0033700"	5.70887628402178e-05	231.304347826087	0.0114707599899892	2	11	"phospholipid efflux"	0.000481749033792013
"GO:0043691"	6.84627154830917e-05	208.165217391304	0.0125135563527154	2	12	"reverse cholesterol transport"	0.00056767612727579
"GO:0019218"	6.96317910795667e-05	43.9957002457002	0.0802953199299241	3	77	"regulation of steroid metabolic process"	0.00056767612727579
"GO:0018108"	7.24184462979046e-05	21.125945705385	0.227329607074331	4	218	"peptidyl-tyrosine phosphorylation"	0.000580554544488202
"GO:0018212"	7.50264122815304e-05	20.9285714285714	0.229415199799783	4	220	"peptidyl-tyrosine modification"	0.000589288798186283
"GO:0016042"	7.63557791418649e-05	20.8312486284837	0.230457996162509	4	221	"lipid catabolic process"	0.000589288798186283
"GO:0055088"	7.80472162607384e-05	42.2762691853601	0.0834237090181029	3	80	"lipid homeostasis"	0.000589288798186283
"GO:0022607"	7.88474198711592e-05	7.29120077783179	1.52248268958038	8	1460	"cellular component assembly"	0.000589288798186283
"GO:0032373"	8.08587540130866e-05	189.233201581028	0.0135563527154417	2	13	"positive regulation of sterol transport"	0.000589288798186283
"GO:0032376"	8.08587540130866e-05	189.233201581028	0.0135563527154417	2	13	"positive regulation of cholesterol transport"	0.000589288798186283
"GO:0051179"	9.36050244593421e-05	5.09545923632611	4.39225827980312	13	4212	"localization"	0.000672000250223038
"GO:0045922"	0.000108709198970644	160.107023411371	0.0156419454408943	2	15	"negative regulation of fatty acid metabolic process"	0.000768957716248234
"GO:0033993"	0.000111101876651283	12.5706638115632	0.492199883206807	5	472	"response to lipid"	0.000774492792308216
"GO:0032879"	0.000136642512410872	6.70326131725765	1.64657545674481	8	1579	"regulation of localization"	0.000938929263851851
"GO:0010874"	0.000140624345392114	138.747826086957	0.0177275381663469	2	17	"regulation of cholesterol efflux"	0.000952680424416997
"GO:0044085"	0.000153107322702549	6.58646727319607	1.67368816217569	8	1605	"cellular component biogenesis"	0.00102284197527675
"GO:0006200"	0.000160655614431608	32.8512396694215	0.106365228998081	3	102	"ATP catabolic process"	0.00104426149380545
"GO:0010565"	0.000160655614431608	32.8512396694215	0.106365228998081	3	102	"regulation of cellular ketone metabolic process"	0.00104426149380545
"GO:0043933"	0.000176655351165495	7.3530063729565	1.26178359889881	7	1210	"macromolecular complex subunit organization"	0.00112351260617884
"GO:0009158"	0.000180014829437006	31.5701676963813	0.110536414448986	3	106	"ribonucleoside monophosphate catabolic process"	0.00112351260617884
"GO:0009169"	0.000180014829437006	31.5701676963813	0.110536414448986	3	106	"purine ribonucleoside monophosphate catabolic process"	0.00112351260617884
"GO:0015711"	0.000182191233434406	16.5190999476714	0.288854592475181	4	277	"organic anion transport"	0.00112351260617884
"GO:0009128"	0.000185080253843229	31.2652972027972	0.111579210811713	3	107	"purine nucleoside monophosphate catabolic process"	0.0011268810392227
"GO:0009125"	0.000195487016069433	30.6728130360206	0.113664803537165	3	109	"nucleoside monophosphate catabolic process"	0.00116085499665923
"GO:0046890"	0.000195487016069433	30.6728130360206	0.113664803537165	3	109	"regulation of lipid biosynthetic process"	0.00116085499665923
"GO:0006631"	0.000217101184314911	15.7595737595738	0.302410945190623	4	290	"fatty acid metabolic process"	0.00127348377628625
"GO:0051960"	0.00022667206944434	10.7357798165138	0.573537999499458	5	550	"regulation of nervous system development"	0.00131360560726177
