"KEGGID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"	"p.adj"
"03010"	7.16956460993084e-43	15.3190412122929	12.2752252252252	73	119	"Ribosome"	2.50934761347579e-41
"04510"	1.06944632407403e-05	2.32075471698113	20.6306306306306	41	200	"Focal adhesion"	0.000187153106712956
"04141"	8.97899089919695e-05	2.25162497873065	17.4328828828829	34	169	"Protein processing in endoplasmic reticulum"	0.00104754893823964
"04612"	0.000266604366072983	2.85106059068304	8.04594594594595	19	78	"Antigen processing and presentation"	0.0023327882031386
"04916"	0.001094858035977	2.35249173223857	10.3153153153153	21	100	"Melanogenesis"	0.00766400625183903
"04115"	0.00165705914314158	2.61367776121874	7.22072072072072	16	70	"p53 signaling pathway"	0.00966617833499257
"05200"	0.00224478754326913	1.62637362637363	33.5247747747748	50	325	"Pathways in cancer"	0.0112239377163457
"00330"	0.00270951861835394	2.79062025041615	5.57027027027027	13	54	"Arginine and proline metabolism"	0.0118541439552985
"05414"	0.00372914025384052	2.2365944546201	9.18063063063063	18	89	"Dilated cardiomyopathy"	0.0145022120982687
"04144"	0.005794847482605	1.67948930525618	22.6936936936937	35	220	"Endocytosis"	0.0185888534866932
"05218"	0.00584221109581787	2.31672932330827	7.42702702702703	15	72	"Melanoma"	0.0185888534866932
"05215"	0.00860200512744032	2.07953980099503	9.18063063063063	17	89	"Prostate cancer"	0.0246593023445193
"05410"	0.0097311644688002	2.10191961207376	8.56171171171171	16	83	"Hypertrophic cardiomyopathy (HCM)"	0.0246593023445193
"04614"	0.00986372093780771	4.03930870891223	1.95990990990991	6	19	"Renin-angiotensin system"	0.0246593023445193
"05211"	0.012399408632189	2.15906780323766	7.32387387387387	14	71	"Renal cell carcinoma"	0.0289319534751076
"00920"	0.014180522831109	5.82430453879941	1.03153153153153	4	10	"Sulfur metabolism"	0.031019893693051
"05222"	0.015130019099692	1.98215822505825	8.97432432432432	16	87	"Small cell lung cancer"	0.0311500393228954
"04150"	0.0174971644962902	2.29786559594252	5.46711711711712	11	53	"mTOR signaling pathway"	0.034022264298342
"00030"	0.0206900854533918	2.91764705882353	2.88828828828829	7	28	"Pentose phosphate pathway"	0.0381133153088797
"03013"	0.0222261249024048	1.61520103982442	17.3297297297297	26	168	"RNA transport"	0.0388957185792084
"04970"	0.0243416688405511	1.95146111936602	7.94279279279279	14	77	"Salivary secretion"	0.0402368952912708
"04020"	0.0254285528405498	1.57730282962071	18.3612612612613	27	178	"Calcium signaling pathway"	0.0402368952912708
"04360"	0.0264413883342637	1.68063063063063	13.5130630630631	21	131	"Axon guidance"	0.0402368952912708
"04120"	0.0288081760763428	1.64151905186696	14.4414414414414	22	140	"Ubiquitin mediated proteolysis"	0.0415707810598736
"00471"	0.0296934150427668	17.436496350365	0.309459459459459	2	3	"D-Glutamine and D-glutamate metabolism"	0.0415707810598736
"04514"	0.031083671247055	1.60739386115892	15.3698198198198	23	149	"Cell adhesion molecules (CAMs)"	0.0418434036018049
"04810"	0.0351245885535707	1.47847725774555	22.2810810810811	31	216	"Regulation of actin cytoskeleton"	0.0435377862434732
"04110"	0.0352509042857576	1.64385097171041	13.1004504504505	20	127	"Cell cycle"	0.0435377862434732
"04260"	0.0360741657445921	1.83371404493136	8.3554054054054	14	81	"Cardiac muscle contraction"	0.0435377862434732
"05412"	0.0377718953544159	1.86933891131975	7.63333333333333	13	74	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	0.0440672112468185
"00670"	0.0393199863066449	3.12054880603268	1.95990990990991	5	19	"One carbon pool by folate"	0.0443935329268571
"04910"	0.0407918362826895	1.59207051879466	14.131981981982	21	137	"Insulin signaling pathway"	0.0446160709341916
"04270"	0.0467312318647765	1.60512148779364	12.6878378378378	19	123	"Vascular smooth muscle contraction"	0.0468770536933984
"04722"	0.0467640761274027	1.5835325580453	13.5130630630631	20	131	"Neurotrophin signaling pathway"	0.0468770536933984
"04340"	0.0468770536933984	1.9903988183161	5.57027027027027	10	54	"Hedgehog signaling pathway"	0.0468770536933984
