"KEGGID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"	"p.adj"
"04640"	1.53357629995146e-12	5.72627111498356	9.75135135135135	35	82	"Hematopoietic cell lineage"	1.22686103996117e-10
"04974"	5.03843225315488e-11	5.32906178489702	9.27567567567568	32	78	"Protein digestion and absorption"	1.57435371021911e-09
"04142"	5.90382641332167e-11	4.00088888888889	14.627027027027	42	123	"Lysosome"	1.57435371021911e-09
"04020"	6.98872149916649e-09	2.9339572443582	21.1675675675676	49	178	"Calcium signaling pathway"	1.33201533518977e-07
"04115"	8.32509584493603e-09	4.78112175102599	8.32432432432432	27	70	"p53 signaling pathway"	1.33201533518977e-07
"04260"	1.70470147929216e-08	4.25103337029943	9.63243243243243	29	81	"Cardiac muscle contraction"	2.27293530572288e-07
"05200"	6.01021622539528e-08	2.21936758893281	38.6486486486486	72	325	"Pathways in cancer"	6.86881854330889e-07
"04210"	7.87125810436585e-08	3.87480168310685	10.227027027027	29	86	"Apoptosis"	7.87125810436585e-07
"04110"	1.04205882686874e-07	3.14622516556291	15.1027027027027	37	127	"Cell cycle"	9.26274512772209e-07
"05412"	1.45809762922929e-07	4.11553524804178	8.8	26	74	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	1.16647810338343e-06
"04970"	3.60098947682566e-07	3.87144831823069	9.15675675675676	26	77	"Salivary secretion"	2.61890143769139e-06
"00830"	1.39191855276834e-06	3.64557215926186	9.15675675675676	25	77	"Retinol metabolism"	9.2794570184556e-06
"05010"	2.27584632000731e-06	2.4117448816244	22.3567567567568	45	188	"Alzheimer's disease"	1.34421664100392e-05
"04510"	2.35237912175687e-06	2.35649427556257	23.7837837837838	47	200	"Focal adhesion"	1.34421664100392e-05
"00071"	4.22187566640108e-06	4.52558139534884	5.70810810810811	18	48	"Fatty acid metabolism"	2.25166702208058e-05
"05222"	4.94289956768175e-06	3.23122030561144	10.3459459459459	26	87	"Small cell lung cancer"	2.47144978384087e-05
"04610"	1.37648161837976e-05	3.28152219250681	9.03783783783784	23	76	"Complement and coagulation cascades"	6.47756055708124e-05
"05100"	4.74027853528621e-05	3.16933852140078	8.44324324324324	21	71	"Bacterial invasion of epithelial cells"	0.000197595183971952
"04012"	4.9398795992988e-05	2.87946428571429	10.3459459459459	24	87	"ErbB signaling pathway"	0.000197595183971952
"00982"	4.9398795992988e-05	2.87946428571429	10.3459459459459	24	87	"Drug metabolism - cytochrome P450"	0.000197595183971952
"00980"	5.65779034213331e-05	3.01974025974026	9.15675675675676	22	77	"Metabolism of xenobiotics by cytochrome P450"	0.000215534870176507
"05213"	6.15956242203846e-05	3.65570506912442	6.18378378378378	17	52	"Endometrial cancer"	0.000223984088074126
"04080"	6.73861853781768e-05	1.89794271883824	32.9405405405405	55	277	"Neuroactive ligand-receptor interaction"	0.000229112529011778
"05414"	7.3643642593647e-05	2.78990384615385	10.5837837837838	24	89	"Dilated cardiomyopathy"	0.000229112529011778
"05215"	7.3643642593647e-05	2.78990384615385	10.5837837837838	24	89	"Prostate cancer"	0.000229112529011778
"04971"	7.44615719288279e-05	3.04639329542053	8.68108108108108	21	73	"Gastric acid secretion"	0.000229112529011778
"00590"	8.93662777895053e-05	2.74715909090909	10.7027027027027	24	90	"Arachidonic acid metabolism"	0.000264465463131656
"05220"	9.25629120960797e-05	2.98840026429778	8.8	21	74	"Chronic myeloid leukemia"	0.000264465463131656
"04360"	0.000257582137130536	2.24799251578701	15.5783783783784	30	131	"Axon guidance"	0.000710571412773893
"04350"	0.000277365448816566	2.63265306122449	10.1081081081081	22	85	"TGF-beta signaling pathway"	0.000738732117375302
