"KEGGID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"	"p.adj"
"00460"	0.00359954650743843	443.4	0.0036036036036036	1	6	"Cyanoamino acid metabolism"	0.0359954650743843
"00670"	0.0113652206984429	122.925925925926	0.0114114114114114	1	19	"One carbon pool by folate"	0.0437188842138861
"01100"	0.0194436686138256	13.9077053344623	0.711111111111111	3	1184	"Metabolic pathways"	0.0437188842138861
"00260"	0.0202691100470389	66.8989898989899	0.0204204204204204	1	34	"Glycine, serine and threonine metabolism"	0.0437188842138861
"05330"	0.0308742332278577	43.1699346405229	0.0312312312312312	1	52	"Allograft rejection"	0.0437188842138861
"00330"	0.0320472426034912	41.5283018867925	0.0324324324324324	1	54	"Arginine and proline metabolism"	0.0437188842138861
"05332"	0.0320472426034912	41.5283018867925	0.0324324324324324	1	54	"Graft-versus-host disease"	0.0437188842138861
"04940"	0.0349751073711089	37.9195402298851	0.0354354354354354	1	59	"Type I diabetes mellitus"	0.0437188842138861
"05320"	0.0396458690432615	33.2828282828283	0.0402402402402402	1	67	"Autoimmune thyroid disease"	0.0440509656036239
"04612"	0.0460404568340754	28.4805194805195	0.0468468468468468	1	78	"Antigen processing and presentation"	0.0460404568340754
