"PathwayID"	"Pathway"	"N.Selected"	"N.In.Category"	"p.value"	"p.adj"
"4809935"	"Mus musculus: Gene Expression"	138	839	1.70593513304164e-47	1.80999717615718e-44
"4809951"	"Mus musculus: Metabolism of proteins"	123	691	1.61747467521065e-45	8.58070315199251e-43
"4809858"	"Mus musculus: Metabolism"	172	1504	6.76981504173706e-40	2.39425791976101e-37
"4810524"	"Mus musculus: Metabolism of RNA"	83	384	2.67544362776256e-36	7.0966142226402e-34
"4810844"	"Mus musculus: Metabolism of mRNA"	80	360	9.22202400307256e-36	1.956913493452e-33
"4809947"	"Mus musculus: GTP hydrolysis and joining of the 60S ribosomal subunit"	68	249	3.09485902084535e-35	5.4727423685282e-33
"4810940"	"Mus musculus: Nonsense-Mediated Decay"	67	245	9.08813086624554e-35	1.15564144014156e-32
"4810941"	"Mus musculus: Nonsense Mediated Decay Enhanced by the Exon Junction Complex"	67	245	9.08813086624554e-35	1.15564144014156e-32
"4809948"	"Mus musculus: Cap-dependent Translation Initiation"	68	256	1.31079374482371e-34	1.15564144014156e-32
"4809949"	"Mus musculus: Eukaryotic Translation Initiation"	68	256	1.31079374482371e-34	1.15564144014156e-32
"4810290"	"Mus musculus: L13a-mediated translational silencing of Ceruloplasmin expression"	67	247	1.37925484442627e-34	1.15564144014156e-32
"4810291"	"Mus musculus: 3' -UTR-mediated translational regulation"	67	247	1.37925484442627e-34	1.15564144014156e-32
"4810293"	"Mus musculus: Eukaryotic Translation Elongation"	65	229	1.41596029423566e-34	1.15564144014156e-32
"4810292"	"Mus musculus: Peptide chain elongation"	64	225	4.1406115696594e-34	3.13799205386331e-32
"4809956"	"Mus musculus: Formation of a pool of free 40S subunits"	65	235	5.13355396365342e-34	3.63113383695752e-32
"4810939"	"Mus musculus: Nonsense Mediated Decay Independent of the Exon Junction Complex"	64	228	7.92756567811634e-34	5.2569669903009e-32
"4810283"	"Mus musculus: Eukaryotic Translation Termination"	63	224	2.32013790917297e-33	1.44803901272501e-31
"4809950"	"Mus musculus: Translation"	70	297	8.2118170902892e-33	4.84040996266491e-31
"4811072"	"Mus musculus: SRP-dependent cotranslational protein targeting to membrane"	63	254	9.90560143970097e-31	5.5314963829067e-29
"4810016"	"Mus musculus: Immune System"	108	1045	3.31625915264216e-22	1.75927548047667e-20
"4809952"	"Mus musculus: Ribosomal scanning and start codon recognition"	36	124	4.61112739849468e-20	2.32971722371565e-18
"4810021"	"Mus musculus: Adaptive Immune System"	72	562	1.00853480420752e-19	4.86388830574629e-18
"4810289"	"Mus musculus: Translation initiation complex formation"	35	123	2.59184876785345e-19	1.19563110551848e-17
"4809953"	"Mus musculus: Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	35	124	3.21928626489558e-19	1.42319280293925e-17
"4809954"	"Mus musculus: Formation of the ternary complex, and subsequently, the 43S complex"	33	116	2.72709212513804e-18	1.15737789790858e-16
"4810512"	"Mus musculus: Membrane Trafficking"	37	195	2.14463499128259e-15	8.75176048365702e-14
"4809812"	"Mus musculus: Cell Cycle, Mitotic"	50	398	7.69995092174814e-14	3.02579552887955e-12
"4809815"	"Mus musculus: Mitotic M-M/G1 phases"	40	266	1.45883265729837e-13	5.5279337478342e-12
"4810971"	"Mus musculus: Class I MHC mediated antigen processing & presentation"	37	228	1.5302357340402e-13	5.59855211660915e-12
"4810018"	"Mus musculus: Muscle contraction"	19	47	2.36204987849973e-13	8.35378307029406e-12
"4810243"	"Mus musculus: Hemostasis"	52	446	3.43655455592196e-13	1.17618851091394e-11
"4809901"	"Mus musculus: Disease"	66	672	3.71840772458592e-13	1.23288456118302e-11
"4810134"	"Mus musculus: Developmental Biology"	47	376	5.0051697951609e-13	1.60923792505022e-11
"4809894"	"Mus musculus: Metabolism of lipids and lipoproteins"	56	519	7.60080789227872e-13	2.37189916873756e-11
"4810285"	"Mus musculus: M Phase"	36	236	1.62971108364558e-12	4.94035274213702e-11
"4809813"	"Mus musculus: Cell Cycle"	56	534	2.1421361619603e-12	6.31335129955521e-11
"4809870"	"Mus musculus: Transmembrane transport of small molecules"	52	484	5.72919370279591e-12	1.64288500504499e-10
"4809987"	"Mus musculus: Signal Transduction"	121	1858	6.51721928263727e-11	1.81967622602057e-09
"4810003"	"Mus musculus: Signaling by PDGF"	27	161	1.46811652672875e-10	3.99402983297232e-09
"4810764"	"Mus musculus: Striated Muscle Contraction"	13	28	3.70800180335242e-10	9.83547478339230e-09
"4810449"	"Mus musculus: Mitotic Anaphase"	28	184	4.88670549065251e-10	1.26458403062983e-08
"4810341"	"Mus musculus: Mitotic Metaphase and Anaphase"	28	185	5.45138378370951e-10	1.37712337964662e-08
"4810972"	"Mus musculus: Antigen processing: Ubiquitination & Proteasome degradation"	27	174	6.76631642228145e-10	1.66954923814898e-08
"4810246"	"Mus musculus: Extracellular matrix organization"	32	244	8.48327456091365e-10	2.04562597934759e-08
"4810448"	"Mus musculus: Separation of Sister Chromatids"	27	178	1.05397600412726e-09	2.48504120084227e-08
"4810010"	"Mus musculus: Signaling by EGFR in Cancer"	25	159	2.25129318232781e-09	5.19265666619523e-08
"4809882"	"Mus musculus: Neuronal System"	31	242	2.56506659176317e-09	5.79050139119303e-08
"4810002"	"Mus musculus: Downstream signal transduction"	23	136	2.85377878139743e-09	6.30804018138058e-08
"4810712"	"Mus musculus: Mitotic Prometaphase"	22	126	3.72743011951717e-09	8.07102725879126e-08
"4810001"	"Mus musculus: Signalling by NGF"	33	279	4.82676766286609e-09	1.02424009806018e-07
"4810009"	"Mus musculus: Signaling by EGFR"	24	157	7.6275247919745e-09	1.58682427534999e-07
"4809857"	"Mus musculus: Metabolism of carbohydrates"	31	258	1.00069451545798e-08	2.04180169404022e-07
"4810133"	"Mus musculus: Axon guidance"	31	260	1.17721913756765e-08	2.35665944331939e-07
"1445146"	"Mus musculus: Translocation of Glut4 to the Plasma Membrane"	16	70	1.89918301594955e-08	3.66369669076813e-07
"4811020"	"Mus musculus: Translocation of GLUT4 to the Plasma Membrane"	16	70	1.89918301594955e-08	3.66369669076813e-07
"4811060"	"Mus musculus: Regulation of Cholesterol Biosynthesis by SREBP (SREBF)"	13	42	1.989758670154e-08	3.76988205184535e-07
"4811058"	"Mus musculus: Resolution of Sister Chromatid Cohesion"	20	118	2.91474800501073e-08	5.42552216371295e-07
"4810000"	"Mus musculus: NGF signalling via TRKA from the plasma membrane"	25	185	3.37359814497278e-08	6.17135798588987e-07
"4810244"	"Mus musculus: Response to elevated platelet cytosolic Ca2+"	17	86	4.44560559424753e-08	7.99455514490954e-07
"4810007"	"Mus musculus: Signaling by FGFR in disease"	22	148	4.93062922158858e-08	8.71899600684247e-07
"4810015"	"Mus musculus: Innate Immune System"	45	519	6.08869766499903e-08	1.05903413484655e-06
"4810006"	"Mus musculus: Signaling by FGFR"	21	138	6.90965591457451e-08	1.18244272989735e-06
"4810012"	"Mus musculus: Signaling by ERBB2"	21	139	7.70900847007747e-08	1.29829491853209e-06
"4810211"	"Mus musculus: Integration of energy metabolism"	18	104	1.06965590482564e-07	1.77328892971876e-06
"4810675"	"Mus musculus: Platelet degranulation "	16	81	1.10928730776464e-07	1.81069820544351e-06
"4810242"	"Mus musculus: Platelet activation, signaling and aggregation"	24	186	1.36659651500898e-07	2.19690742791595e-06
"4809995"	"Mus musculus: G-protein mediated events"	12	42	1.45191462761258e-07	2.29922599984619e-06
"4809877"	"Mus musculus: Metabolism of amino acids and derivatives"	24	187	1.49439093929081e-07	2.33168939204051e-06
"4810736"	"Mus musculus: Unfolded Protein Response"	14	62	1.65336465098797e-07	2.50598226076861e-06
"4809881"	"Mus musculus: Transmission across Chemical Synapses"	23	174	1.67695325649926e-07	2.50598226076861e-06
"4810325"	"Mus musculus: Post-translational protein modification"	23	174	1.67695325649926e-07	2.50598226076861e-06
"4810005"	"Mus musculus: Downstream signaling of activated FGFR"	19	125	2.90492047047643e-07	4.28072308218818e-06
"4810336"	"Mus musculus: Asparagine N-linked glycosylation"	15	78	3.71355482223406e-07	5.39737214574019e-06
"4809994"	"Mus musculus: PLC beta mediated events"	11	41	8.14264354460987e-07	1.16747902713933e-05
"4810004"	"Mus musculus: Phospholipase C-mediated cascade"	12	51	8.5968488670475e-07	1.21616755305832e-05
"4810020"	"Mus musculus: Signaling by the B Cell Receptor (BCR)"	22	180	1.01835688457183e-06	1.42167980859305e-05
"4810970"	"Mus musculus: Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	10	34	1.27529992001804e-06	1.75726391576512e-05
"4810638"	"Mus musculus: Cell-Cell communication"	16	100	1.35314160511229e-06	1.84061954233864e-05
"4810893"	"Mus musculus: Calnexin/calreticulin cycle"	7	12	1.45079708586511e-06	1.94847557987706e-05
"4809946"	"Mus musculus: Transcription"	20	156	1.60121459671832e-06	2.12361085889767e-05
"4811059"	"Mus musculus: Activation of Gene Expression by SREBP (SREBF)"	9	27	1.84022872099107e-06	2.41047243576731e-05
"4809920"	"Mus musculus: Apoptosis"	20	159	2.08568962098546e-06	2.69867888764094e-05
"4809863"	"Mus musculus: Biological oxidations"	20	162	2.6997985979305e-06	3.45118832819791e-05
"4810892"	"Mus musculus: N-glycan trimming in the ER and Calnexin/Calreticulin cycle"	7	14	3.16008098618624e-06	3.99148324564714e-05
"4809869"	"Mus musculus: SLC-mediated transmembrane transport"	25	244	3.62293080014879e-06	4.52227009289161e-05
"4810013"	"Mus musculus: DAP12 signaling"	19	151	3.69917273970752e-06	4.56374683352289e-05
"4809998"	"Mus musculus: DAG and IP3 signaling"	9	30	3.79031667449034e-06	4.62244366854511e-05
"4811110"	"Mus musculus: MHC class II antigen presentation"	15	97	4.16549152276052e-06	5.02225739278285e-05
"4809996"	"Mus musculus: Opioid Signalling"	12	63	5.85340700477833e-06	6.81152861854875e-05
"4810816"	"Mus musculus: Cell junction organization"	12	63	5.85340700477833e-06	6.81152861854875e-05
"4809999"	"Mus musculus: PLC-gamma1 signalling"	9	32	5.90632076254934e-06	6.81152861854875e-05
"4810008"	"Mus musculus: EGFR interacts with phospholipase C-gamma"	9	32	5.90632076254934e-06	6.81152861854875e-05
"4810204"	"Mus musculus: Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	17	128	6.20038022473515e-06	6.99851427494042e-05
"4810429"	"Mus musculus: Generic Transcription Pathway"	17	128	6.20038022473515e-06	6.99851427494042e-05
"4810011"	"Mus musculus: PLCG1 events in ERBB2 signaling"	9	33	7.29816570302514e-06	8.15089874832597e-05
"4810014"	"Mus musculus: DAP12 interactions"	19	161	8.53849262292599e-06	9.436813200963e-05
"4809992"	"Mus musculus: CaM pathway"	8	25	8.88822251533047e-06	9.62286131506697e-05
"4810199"	"Mus musculus: Calmodulin induced events"	8	25	8.88822251533047e-06	9.62286131506697e-05
"4809936"	"Mus musculus: Processing of Capped Intron-Containing Pre-mRNA"	17	133	9.78386288772815e-06	0.000104855338625046
"4809937"	"Mus musculus: mRNA Processing"	18	152	1.39781605986699e-05	0.000148308283951888
"4809993"	"Mus musculus: Ca-dependent events"	8	27	1.42117910116756e-05	0.000149294161023642
"4809945"	"Mus musculus: RNA Polymerase II Transcription"	15	112	1.95654805040522e-05	0.000203519360929406
"4810032"	"Mus musculus: IRS-related events triggered by IGF1R"	13	86	2.22256762719784e-05	0.000228946043927855
"4809893"	"Mus musculus: Fatty acid, triacylglycerol, and ketone body metabolism"	17	144	2.48305152541713e-05	0.00025331900658342
"4810017"	"Mus musculus: Smooth Muscle Contraction"	7	21	2.62999352499861e-05	0.000265754583811765
"4810033"	"Mus musculus: IGF1R signaling cascade"	13	90	3.40687625567579e-05	0.00033782202871701
"4810034"	"Mus musculus: Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)"	13	90	3.40687625567579e-05	0.00033782202871701
"4810023"	"Mus musculus: Fc epsilon receptor (FCERI) signaling"	18	164	3.51233572571262e-05	0.000345054463424175
"4810709"	"Mus musculus: CDO in myogenesis"	7	23	4.26924363902516e-05	0.000411787954636881
"4810710"	"Mus musculus: Myogenesis"	7	23	4.26924363902516e-05	0.000411787954636881
"4810807"	"Mus musculus: Ion channel transport"	15	122	4.79657329202854e-05	0.000451047883639188
"4810676"	"Mus musculus: Clathrin derived vesicle budding"	11	67	4.80380875129389e-05	0.000451047883639188
"4810677"	"Mus musculus: trans-Golgi Network Vesicle Budding"	11	67	4.80380875129389e-05	0.000451047883639188
"4810297"	"Mus musculus: Signaling by NOTCH"	12	80	4.86837946894372e-05	0.000453100931276253
"4809875"	"Mus musculus: The citric acid (TCA) cycle and respiratory electron transport"	17	155	5.77186157542692e-05	0.000532516967958953
"4810606"	"Mus musculus: eNOS activation"	5	9	5.93589108567247e-05	0.000542929348439525
"4810412"	"Mus musculus: Signaling by TGF-beta Receptor Complex"	11	70	6.84487277905233e-05	0.00056297752081973
"4810413"	"Mus musculus: SMAD2/3 Phosphorylation Motif Mutants in Cancer"	11	70	6.84487277905233e-05	0.00056297752081973
"4810414"	"Mus musculus: Loss of Function of SMAD2/3 in Cancer"	11	70	6.84487277905233e-05	0.00056297752081973
"4810415"	"Mus musculus: Signaling by TGF-beta Receptor Complex in Cancer"	11	70	6.84487277905233e-05	0.00056297752081973
"4810416"	"Mus musculus: SMAD4 MH2 Domain Mutants in Cancer"	11	70	6.84487277905233e-05	0.00056297752081973
"4810417"	"Mus musculus: Loss of Function of SMAD4 in Cancer"	11	70	6.84487277905233e-05	0.00056297752081973
"4810418"	"Mus musculus: SMAD2/3 MH2 Domain Mutants in Cancer"	11	70	6.84487277905233e-05	0.00056297752081973
"4810419"	"Mus musculus: TGFBR2 MSI Frameshift Mutants in Cancer"	11	70	6.84487277905233e-05	0.00056297752081973
"4810420"	"Mus musculus: Loss of Function of TGFBR2 in Cancer"	11	70	6.84487277905233e-05	0.00056297752081973
"4810421"	"Mus musculus: TGFBR2 Kinase Domain Mutants in Cancer"	11	70	6.84487277905233e-05	0.00056297752081973
"4810422"	"Mus musculus: TGFBR1 KD Mutants in Cancer"	11	70	6.84487277905233e-05	0.00056297752081973
"4810423"	"Mus musculus: Loss of Function of TGFBR1 in Cancer"	11	70	6.84487277905233e-05	0.00056297752081973
"4810424"	"Mus musculus: TGFBR1 LBD Mutants in Cancer"	11	70	6.84487277905233e-05	0.00056297752081973
"4810924"	"Mus musculus: Regulation of signaling by CBL"	6	17	7.76500378784681e-05	0.000633743770685036
"4809938"	"Mus musculus: mRNA Splicing - Major Pathway"	15	129	8.51642410601313e-05	0.000684539846703025
"4809939"	"Mus musculus: mRNA Splicing"	15	129	8.51642410601313e-05	0.000684539846703025
"4810824"	"Mus musculus: Golgi Associated Vesicle Biogenesis"	10	60	9.40112687731297e-05	0.000749969595250305
"4809846"	"Mus musculus: Cellular responses to stress"	17	162	9.48217540762301e-05	0.000750790157275225
"4810404"	"Mus musculus: Adenylate cyclase inhibitory pathway"	5	11	0.000122588566737383	0.000956371097855612
"4810405"	"Mus musculus: Inhibition of adenylate cyclase pathway"	5	11	0.000122588566737383	0.000956371097855612
"4811071"	"Mus musculus: Activation of Chaperone Genes by ATF6-alpha"	4	5	0.000127973043524927	0.000975883623211666
"4810255"	"Mus musculus: Platelet calcium homeostasis"	6	19	0.000128768809848853	0.000975883623211666
