"PathwayID"	"Pathway"	"N.Selected"	"N.In.Category"	"p.value"	"p.adj"
"4809951"	"Mus musculus: Metabolism of proteins"	113	691	3.82163672485899e-45	3.87131800228215e-42
"4809935"	"Mus musculus: Gene Expression"	123	839	1.14196200464292e-44	5.78403755351639e-42
"4810524"	"Mus musculus: Metabolism of RNA"	78	384	4.0954748500955e-37	1.38290534104891e-34
"4809947"	"Mus musculus: GTP hydrolysis and joining of the 60S ribosomal subunit"	65	249	1.16246421578937e-36	2.94394062648659e-34
"4810844"	"Mus musculus: Metabolism of mRNA"	75	360	2.25802792315524e-36	4.57476457231251e-34
"4810940"	"Mus musculus: Nonsense-Mediated Decay"	64	245	3.93137899396988e-36	5.36354180584982e-34
"4810941"	"Mus musculus: Nonsense Mediated Decay Enhanced by the Exon Junction Complex"	64	245	3.93137899396988e-36	5.36354180584982e-34
"4809948"	"Mus musculus: Cap-dependent Translation Initiation"	65	256	4.76523951161386e-36	5.36354180584982e-34
"4809949"	"Mus musculus: Eukaryotic Translation Initiation"	65	256	4.76523951161386e-36	5.36354180584982e-34
"4810290"	"Mus musculus: L13a-mediated translational silencing of Ceruloplasmin expression"	64	247	5.9083253979761e-36	5.44103057104526e-34
"4810291"	"Mus musculus: 3' -UTR-mediated translational regulation"	64	247	5.9083253979761e-36	5.44103057104526e-34
"4810293"	"Mus musculus: Eukaryotic Translation Elongation"	62	229	8.48170604386989e-36	7.15997351870017e-34
"4810292"	"Mus musculus: Peptide chain elongation"	61	225	2.86046835662602e-35	2.15387176107752e-33
"4809956"	"Mus musculus: Formation of a pool of free 40S subunits"	62	235	2.97672306565502e-35	2.15387176107752e-33
"4810939"	"Mus musculus: Nonsense Mediated Decay Independent of the Exon Junction Complex"	61	228	5.38467044656065e-35	3.63644744157729e-33
"4809858"	"Mus musculus: Metabolism"	147	1504	1.17156719882358e-34	7.4174848275518e-33
"4810283"	"Mus musculus: Eukaryotic Translation Termination"	60	224	1.81660961127082e-34	1.08248560953961e-32
"4809950"	"Mus musculus: Translation"	67	297	1.98517859921689e-34	1.11721440055928e-32
"4811072"	"Mus musculus: SRP-dependent cotranslational protein targeting to membrane"	60	254	6.62422117449595e-32	3.53175581566547e-30
"4809952"	"Mus musculus: Ribosomal scanning and start codon recognition"	34	124	2.0317467749137e-20	1.02907974149379e-18
"4810289"	"Mus musculus: Translation initiation complex formation"	33	123	1.28560734551652e-19	6.20152495718206e-18
"4809953"	"Mus musculus: Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	33	124	1.58414096796439e-19	7.29424909339967e-18
"4810016"	"Mus musculus: Immune System"	92	1045	3.0656589361392e-19	1.35022282709087e-17
"4809954"	"Mus musculus: Formation of the ternary complex, and subsequently, the 43S complex"	31	116	1.7813711263513e-18	7.51887062914112e-17
"4810021"	"Mus musculus: Adaptive Immune System"	60	562	2.17375455604531e-16	8.80805346109561e-15
"4810018"	"Mus musculus: Muscle contraction"	18	47	1.62116960763332e-13	6.3163262020483e-12
"4809894"	"Mus musculus: Metabolism of lipids and lipoproteins"	52	519	2.08732311464917e-13	7.83132709310965e-12
"4809812"	"Mus musculus: Cell Cycle, Mitotic"	43	398	2.63289851668146e-12	9.30216238476199e-11
"4809901"	"Mus musculus: Disease"	58	672	2.66300798774035e-12	9.30216238476199e-11
