"PathwayID"	"Pathway"	"N.Selected"	"N.In.Category"	"p.value"	"p.adj"
"4809858"	"Mus musculus: Metabolism"	246	1504	3.067853531742e-85	3.29794254662265e-82
"4809987"	"Mus musculus: Signal Transduction"	268	1858	2.4368850499127e-82	1.30982571432808e-79
"4810016"	"Mus musculus: Immune System"	173	1045	3.0729150728497e-60	1.10112790110448e-57
"4810015"	"Mus musculus: Innate Immune System"	113	519	1.43995404439752e-49	3.86987649431834e-47
"4810134"	"Mus musculus: Developmental Biology"	96	376	2.54683392402754e-47	5.47569293665922e-45
"4810357"	"Mus musculus: GPCR ligand binding"	93	388	6.3818283894657e-44	1.14341091977927e-41
"4809901"	"Mus musculus: Disease"	117	672	9.430567120879e-43	1.31445693244482e-40
"4810246"	"Mus musculus: Extracellular matrix organization"	76	244	9.78200507865911e-43	1.31445693244482e-40
"4810695"	"Mus musculus: Class A/1 (Rhodopsin-like receptors)"	74	277	7.38388313898974e-38	8.8196381937933e-36
"4810003"	"Mus musculus: Signaling by PDGF"	59	161	1.16469526999846e-36	1.25204741524834e-34
"4811022"	"Mus musculus: Degradation of the extracellular matrix"	53	119	1.76979365227995e-36	1.72957106927359e-34
"4809894"	"Mus musculus: Metabolism of lipids and lipoproteins"	95	519	1.97327922757314e-36	1.76772930803427e-34
"4810133"	"Mus musculus: Axon guidance"	70	260	4.61207438986909e-36	3.81383074546867e-34
"4810010"	"Mus musculus: Signaling by EGFR in Cancer"	56	159	3.95512540924781e-34	3.03697129638671e-32
"4810009"	"Mus musculus: Signaling by EGFR"	55	157	1.90333206696696e-33	1.36405464799299e-31
"4810243"	"Mus musculus: Hemostasis"	83	446	2.01390294788362e-32	1.35309104310931e-30
"4809931"	"Mus musculus: Phase 1 - Functionalization of compounds"	44	91	1.05783113894012e-31	6.68922631976841e-30
"4810021"	"Mus musculus: Adaptive Immune System"	91	562	2.29600333971105e-31	1.37122421677188e-29
"4810000"	"Mus musculus: NGF signalling via TRKA from the plasma membrane"	56	185	2.61947424134562e-31	1.48207095234028e-29
"4809881"	"Mus musculus: Transmission across Chemical Synapses"	53	174	8.12033447909448e-30	4.36467978251329e-28
"4810001"	"Mus musculus: Signalling by NGF"	64	279	1.09789933347676e-29	5.62019896898819e-28
"4810089"	"Mus musculus: Cytochrome P450 - arranged by substrate type"	38	75	3.77102135240201e-28	1.8426581608328e-26
"4811021"	"Mus musculus: Collagen degradation"	34	54	1.09966115011499e-27	5.13972059292877e-26
"4810002"	"Mus musculus: Downstream signal transduction"	45	136	8.99329227034973e-27	4.02824549609415e-25
"4809863"	"Mus musculus: Biological oxidations"	48	162	1.06817353635431e-26	4.59314620632352e-25
"4809882"	"Mus musculus: Neuronal System"	56	242	2.59814155544271e-26	1.05834223492372e-24
"4809870"	"Mus musculus: Transmembrane transport of small molecules"	77	484	2.65816189236656e-26	1.05834223492372e-24
"4811028"	"Mus musculus: Collagen formation"	35	70	6.8224667946616e-26	2.61933993009329e-24
