"PathwayID"	"Pathway"	"N.Selected"	"N.In.Category"	"p.value"	"p.adj"
"4809858"	"Mus musculus: Metabolism"	202	1504	3.5964819993184e-73	3.52814884133135e-70
"4809987"	"Mus musculus: Signal Transduction"	200	1858	4.39509628458655e-58	2.1557947275897e-55
"4810016"	"Mus musculus: Immune System"	139	1045	1.17517842721055e-49	3.84283345697849e-47
"4810134"	"Mus musculus: Developmental Biology"	86	376	1.111447664906e-46	2.72582539818196e-44
"4810246"	"Mus musculus: Extracellular matrix organization"	67	244	8.1138375427921e-41	1.59193492589581e-38
"4811022"	"Mus musculus: Degradation of the extracellular matrix"	50	119	5.02340217662045e-38	8.21326255877443e-36
"4810015"	"Mus musculus: Innate Immune System"	84	519	9.63432585463804e-36	1.35018195191427e-33
"4810133"	"Mus musculus: Axon guidance"	62	260	7.31065959520328e-35	8.96469632861802e-33
"4809931"	"Mus musculus: Phase 1 - Functionalization of compounds"	42	91	1.77483758547401e-33	1.93457296816667e-31
"4810357"	"Mus musculus: GPCR ligand binding"	71	388	2.51815066630432e-33	2.47030580364453e-31
"4809894"	"Mus musculus: Metabolism of lipids and lipoproteins"	80	519	8.65094987302541e-33	7.71507438676175e-31
"4810695"	"Mus musculus: Class A/1 (Rhodopsin-like receptors)"	60	277	8.35545751662899e-32	6.8305865198442e-30
"4810089"	"Mus musculus: Cytochrome P450 - arranged by substrate type"	38	75	1.36329638423033e-31	1.02876442533073e-29
"4811021"	"Mus musculus: Collagen degradation"	34	54	8.48225704272307e-31	5.94363868493667e-29
"4811028"	"Mus musculus: Collagen formation"	35	70	4.66564828645436e-29	3.05133397934115e-27
"4809863"	"Mus musculus: Biological oxidations"	45	162	4.94451184086414e-28	3.03160382242983e-26
"4809901"	"Mus musculus: Disease"	83	672	5.87993641773496e-28	3.39306919164588e-26
"4811053"	"Mus musculus: Collagen biosynthesis and modifying enzymes"	30	51	1.08541088416078e-26	5.91548931867625e-25
"4810003"	"Mus musculus: Signaling by PDGF"	41	161	1.90711200901977e-24	9.84672042551786e-23
"4811027"	"Mus musculus: Assembly of collagen fibrils and other multimeric structures"	27	45	2.46638153913727e-24	1.20976014494683e-22
"4810021"	"Mus musculus: Adaptive Immune System"	69	562	2.57558782350644e-23	1.20316745469515e-21
"4810010"	"Mus musculus: Signaling by EGFR in Cancer"	38	159	6.16714714530201e-22	2.74998697706422e-20
"4810711"	"Mus musculus: NCAM1 interactions"	23	35	1.33863762197225e-21	5.70958046589032e-20
"4810243"	"Mus musculus: Hemostasis"	59	446	1.50600625899244e-21	6.1558005836316e-20
"4810725"	"Mus musculus: G alpha (i) signalling events"	41	200	2.09774504679066e-21	8.23155156360656e-20
"4810009"	"Mus musculus: Signaling by EGFR"	37	157	3.21132297287436e-21	1.2116568601499e-19
"4810000"	"Mus musculus: NGF signalling via TRKA from the plasma membrane"	38	185	5.70751587062137e-20	2.07373076632576e-18
