"PathwayID"	"Pathway"	"N.Selected"	"N.In.Category"	"p.value"	"p.adj"
"4810099"	"Mus musculus: mitochondrial fatty acid beta-oxidation of saturated fatty acids"	4	9	1.91156620397926e-11	1.16605538442735e-09
"4809894"	"Mus musculus: Metabolism of lipids and lipoproteins"	8	519	4.15327936591948e-11	1.26675020660544e-09
"4809892"	"Mus musculus: Mitochondrial Fatty Acid Beta-Oxidation"	4	16	1.29269632422003e-10	2.62848252591406e-09
"4809858"	"Mus musculus: Metabolism"	10	1504	3.25481004205064e-10	4.96358531412722e-09
"4809893"	"Mus musculus: Fatty acid, triacylglycerol, and ketone body metabolism"	5	144	5.32424224521711e-09	6.49557553916488e-08
"4810661"	"Mus musculus: HDL-mediated lipid transport"	3	12	3.20502949583857e-08	3.25844665410255e-07
"4809870"	"Mus musculus: Transmembrane transport of small molecules"	6	484	5.44268785361631e-08	4.7429137010085e-07
"4810432"	"Mus musculus: Lipoprotein metabolism"	3	22	1.61552298586445e-07	1.23183627672164e-06
"4810672"	"Mus musculus: ABC-family proteins mediated transport"	3	29	3.47698078423942e-07	2.35662030931783e-06
"4810353"	"Mus musculus: Lipid digestion, mobilization, and transport"	3	39	8.02467187805136e-07	4.89504984561133e-06
"4810119"	"Mus musculus: mitochondrial fatty acid beta-oxidation of unsaturated fatty acids"	2	7	6.40607516630299e-06	3.55245986494984e-05
"4810718"	"Mus musculus: Role of Abl in Robo-Slit signaling"	2	9	9.78188705001264e-06	4.97245925042309e-05
"4810625"	"Mus musculus: Signaling by Robo receptor"	2	31	9.33617882801719e-05	0.000438082237314653
"4810789"	"Mus musculus: Regulation of actin dynamics for phagocytic cup formation"	2	58	0.000310750279629804	0.00135398336124415
"4810899"	"Mus musculus: PPARA Activates Gene Expression"	2	66	0.000399093527817802	0.00162298034645906
"4811157"	"Mus musculus: Stimuli-sensing channels"	2	74	0.000498251572321603	0.00189958411947611
"4810382"	"Mus musculus: Fcgamma receptor (FCGR) dependent phagocytosis"	2	78	0.000551864404788468	0.00198021933482921
"4810795"	"Mus musculus: Regulation of Lipid Metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)"	2	83	0.00062264488155184	0.00211007432081457
"4809986"	"Mus musculus: Visual phototransduction"	2	89	0.000713080362569078	0.00222263954056566
"4809988"	"Mus musculus: Diseases associated with visual transduction"	2	90	0.000728734275595299	0.00222263954056566
"4810745"	"Mus musculus: Mitochondrial ABC transporters"	1	2	0.00129225663757349	0.0036501275504071
