"external_gene_id"	"description"
"Zscan22"	"zinc finger and SCAN domain containing 22 [Source:MGI Symbol;Acc:MGI:2443312]"
"Itprip"	"inositol 1,4,5-triphosphate receptor interacting protein [Source:MGI Symbol;Acc:MGI:3042776]"
"Mpzl1"	"myelin protein zero-like 1 [Source:MGI Symbol;Acc:MGI:1915731]"
"H2-K1"	"histocompatibility 2, K1, K region [Source:MGI Symbol;Acc:MGI:95904]"
"Megf10"	"multiple EGF-like-domains 10 [Source:MGI Symbol;Acc:MGI:2685177]"
"Limch1"	"LIM and calponin homology domains 1 [Source:MGI Symbol;Acc:MGI:1924819]"
"Gp1bb"	"glycoprotein Ib, beta polypeptide [Source:MGI Symbol;Acc:MGI:107852]"
"Zfp948"	"zinc finger protein 948 [Source:MGI Symbol;Acc:MGI:3040683]"
"Hspa2"	"heat shock protein 2 [Source:MGI Symbol;Acc:MGI:96243]"
"Rpl17"	"ribosomal protein L17 [Source:MGI Symbol;Acc:MGI:2448270]"
"Tmem158"	"transmembrane protein 158 [Source:MGI Symbol;Acc:MGI:1919559]"
"Ccin"	"calicin [Source:MGI Symbol;Acc:MGI:3045316]"
"Cltc"	"clathrin, heavy polypeptide (Hc) [Source:MGI Symbol;Acc:MGI:2388633]"
"Adamts7"	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 7 [Source:MGI Symbol;Acc:MGI:1347346]"
"Pid1"	"phosphotyrosine interaction domain containing 1 [Source:MGI Symbol;Acc:MGI:2138391]"
"Ckap2"	"cytoskeleton associated protein 2 [Source:MGI Symbol;Acc:MGI:1931797]"
"Scarf1"	"scavenger receptor class F, member 1 [Source:MGI Symbol;Acc:MGI:2449455]"
"Maml3"	"mastermind like 3 (Drosophila) [Source:MGI Symbol;Acc:MGI:2389461]"
"Gm5617"	"predicted gene 5617 [Source:MGI Symbol;Acc:MGI:3643566]"
"Nuak1"	"NUAK family, SNF1-like kinase, 1 [Source:MGI Symbol;Acc:MGI:1925226]"
"Scube3"	"signal peptide, CUB domain, EGF-like 3 [Source:MGI Symbol;Acc:MGI:3045253]"
"Rsrc2"	"arginine/serine-rich coiled-coil 2 [Source:MGI Symbol;Acc:MGI:1913489]"
"Phactr1"	"phosphatase and actin regulator 1 [Source:MGI Symbol;Acc:MGI:2659021]"
"Mcoln2"	"mucolipin 2 [Source:MGI Symbol;Acc:MGI:1915529]"
"Rpl34"	"ribosomal protein L34 [Source:MGI Symbol;Acc:MGI:1915686]"
"Armcx6"	"armadillo repeat containing, X-linked 6 [Source:MGI Symbol;Acc:MGI:2147993]"
"Gm11541"	"predicted gene 11541 [Source:MGI Symbol;Acc:MGI:3650066]"
"Daam2"	"dishevelled associated activator of morphogenesis 2 [Source:MGI Symbol;Acc:MGI:1923691]"
"Asap3"	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:MGI Symbol;Acc:MGI:2684986]"
"Nol10"	"nucleolar protein 10 [Source:MGI Symbol;Acc:MGI:2684913]"
"Zfp760"	"zinc finger protein 760 [Source:MGI Symbol;Acc:MGI:2679257]"
"Zfp658"	"zinc finger protein 658 [Source:MGI Symbol;Acc:MGI:2652821]"
"Txnip"	"thioredoxin interacting protein [Source:MGI Symbol;Acc:MGI:1889549]"
"Mdk"	"midkine [Source:MGI Symbol;Acc:MGI:96949]"
"Hs3st6"	"heparan sulfate (glucosamine) 3-O-sulfotransferase 6 [Source:MGI Symbol;Acc:MGI:3580487]"
"Fut10"	"fucosyltransferase 10 [Source:MGI Symbol;Acc:MGI:2384748]"
"Adcy5"	"adenylate cyclase 5 [Source:MGI Symbol;Acc:MGI:99673]"
"Lrrn4cl"	"LRRN4 C-terminal like [Source:MGI Symbol;Acc:MGI:1916102]"
"AI597468"	"expressed sequence AI597468 [Source:MGI Symbol;Acc:MGI:2143652]"
"Prkaa1"	"protein kinase, AMP-activated, alpha 1 catalytic subunit [Source:MGI Symbol;Acc:MGI:2145955]"
"Arhgef39"	"Rho guanine nucleotide exchange factor (GEF) 39 [Source:MGI Symbol;Acc:MGI:3036286]"
"Dync1li2"	"dynein, cytoplasmic 1 light intermediate chain 2 [Source:MGI Symbol;Acc:MGI:107738]"
"Neurl4"	"neuralized homolog 4 (Drosophila) [Source:MGI Symbol;Acc:MGI:1921092]"
"Slc25a34"	"solute carrier family 25, member 34 [Source:MGI Symbol;Acc:MGI:2686215]"
"Akr1c19"	"aldo-keto reductase family 1, member C19 [Source:MGI Symbol;Acc:MGI:2653678]"
"Amt"	"aminomethyltransferase [Source:MGI Symbol;Acc:MGI:3646700]"
"Sp140"	"Sp140 nuclear body protein [Source:MGI Symbol;Acc:MGI:3702467]"
